Fecha,Hora,Nombre,Calorias (kcal),Carbohidratos (g),Lípidos (g),Proteína (g),Sodio (mg)
31/08/2020,,tortilla,52,10.71,0.109,1.37,11
,,sopa de lentejas,75,17.7,1.3,2.2,833
,,Longaniza,273,1.12,22.96,14.46,741
,,Guiso de Lentejas,380,56.09,9.83,21.38,868
,,Chicharrón,174,0,10.02,19.62,588
,,Squirt(Pepsi),40,10,0,0,27
,,Quesadilla,171,10.53,9.9,9.5,409
,,Pechuga de Pollo con la Piel,150,0,8.05,18.14,55
,,Frijoles Negros,218,39.74,0.7,14.47,922
,,Longaniza,273,1.12,22.96,14.46,741
,,Frijoles Cocidos,382,54.12,13.03,14.02,1068
,,sopa de lentejas,75,17.7,1.3,2.2,833
,,Pechuga de Pollo,195,0,7.72,29.55,393
,,Quesadilla,171,10.53,9.9,9.5,409
,,Sopa de Letras(La Moderna),173,35,1,6,2
,,Quesadilla,171,10.53,9.9,9.5,409
,,Muslos de Pollo (Asados o Cocidos),109,0,5.66,13.49,46
,,tortilla,52,10.71,0.109,1.37,11
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,Plátano,105,26.95,0.39,1.29,1
,,Taco de Carnitas,243,21.66,10.08,16,441
,,Frijoles Negros,218,39.74,0.7,14.47,922
,,Frijoles Negros,218,39.74,0.7,14.47,922
,,tortilla,52,10.71,0.109,1.37,11
,,Taco de Bistec,270,20.66,14.52,14.17,661
,,Sopa de Lentejas,186,26.61,4.59,10.42,625
,,Quesadilla,171,10.53,9.9,9.5,409
,,Bistec de Res,135,0,4.62,21.91,57
,,Taco de Carnitas,243,21.66,10.08,16,441
,,Crema(Alpura),37,0.53,3.73,0.35,14
,,Mollete,220,44.13,1.42,6.84,15
,,Espaguetis,220,42.95,1.29,8.06,325
,,Frijoles Negros,218,39.74,0.7,14.47,922
,,Salchicha de Pavo(San Rafael),103,0.4,7.9,7.6,500
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,Caldo de Pollo,12,1.51,0.29,0.95,792
,,Salchicha de Pavo(San Rafael),103,0.4,7.9,7.6,500
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,Papas a la Francesa,156,20.33,8.01,1.98,171
,,Frijoles Bayos Refritos(La Sierra),120,12.4,6,5,501
,,Pechuga de Pollo con la Piel,150,0,8.05,18.14,55
,,Taco de Bistec,270,20.66,14.52,14.17,661
,,Sopa de Lentejas,186,26.61,4.59,10.42,625
,,Longaniza,273,1.12,22.96,14.46,741
,,Tortilla de Maíz,23,4.78,0.3,0.61,5
,,Muslos de Pollo (Asados o Cocidos),109,0,5.66,13.49,46
,,Frijoles Negros,218,39.74,0.7,14.47,922
,,Sandwich,252,27.29,12.08,8.09,579
,,Sopa de Lentejas,186,26.61,4.59,10.42,625
,,Caldo de Pollo,12,1.51,0.29,0.95,792
,,Taco al Pastor,93,4.73,6.12,4.99,78
,,Papa Cocida,80,18.22,0.11,2.16,173
,,Palomitas de Maíz,31,6.22,0.36,1.04,1
,,Papa Cocida,80,18.22,0.11,2.16,173
,,Arroz Blanco,204,44.08,0.44,4.2,577
,,Arroz Blanco,204,44.08,0.44,4.2,577
,,Queso Manchego(Noche Buena),364,0.4,30,23,373
,,Taco de Carnitas,243,21.66,10.08,16,441
,,Queso Panela,258,1.59,20.7,16.4,621
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,Bistec de Res,135,0,4.62,21.91,57
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,tortilla,52,10.71,0.109,1.37,11
,,Pechuga de Pollo con la Piel,150,0,8.05,18.14,55
,,Sopa de Pollo con Fideos,65,7.4,2.39,3.18,868
,,Pozole,228,15.14,10.92,16.23,478
,,tortilla,52,10.71,0.109,1.37,11
,,Taco al Pastor,93,4.73,6.12,4.99,78
,,Bistec de Res,135,0,4.62,21.91,57
,,Salchicha de Pavo(San Rafael),103,0.4,7.9,7.6,500
,,Palomitas de Maíz,31,6.22,0.36,1.04,1
,,Aguacate,322,17.15,29.47,4.02,14
,,Huevo Revuelto,199,1.96,15.21,13.01,211
,,Queso Gouda o Edam,101,0.47,7.85,7.08,261
,,Papas Fritas,153,13.93,10.49,1.84,147
,,Café,2,0.09,0.05,0.28,5
,,Tortillas de Papa,59,6.14,3.24,1.33,168
,,Pozole,228,15.14,10.92,16.23,478
,,Sandwich de Jamón y Queso con Lechuga,369,31.51,18.07,19.25,1525
,,Taco de Carnitas,243,21.66,10.08,16,441
,,Queso Gouda o Edam,101,0.47,7.85,7.08,261
,,Queso Manchego(Noche Buena),364,0.4,30,23,373
,,Corn Flakes(Kellogg's),108,25,0,2,150
,,Torta de Jamón,457,65.51,13.64,17.38,1346
,,Espaguetis,220,42.95,1.29,8.06,325
